id,school,committee_no,circle,table_1,gender,table_2,address,voter_count,committee_count,tag
1,ثانوية بيبي السالم الصباح للبنات,1,1,الدسمة,ذكور,الشرق  + المطبة + دسمان  + بنيدالقار,الدسمه ق 4 ش فيلكا,3769,5,"{أمة 24, الدائرة 1, ذكور, الدسمة}"
2,مدرسة امنه الابتدائيه للبنات,2,1,الدسمة,اناث,الشرق + دسمان + بنيدالقار,الدسمه ق 1 ش مراكش,4121,4,"{أمة 24, الدائرة 1, اناث, الدسمة}"
3,ثانوية أحمد البشر الرومي للبنين,3,1,الدعية,ذكور,,الدعيه ق 1 ش 68,2846,3,"{أمة 24, الدائرة 1, ذكور, الدعية}"
4,مدرسة الدعية المشتركة بنات,4,1,الدعية,اناث,,الدعيه ق 2 ش  احمد بن راشد الرومي,3179,3,"{أمة 24, الدائرة 1, اناث, الدعية}"
5,مدرسة علي بن ابي طالب الابتدائية للبنين,5,1,الشعب,ذكور,فيلكا وسائر الجزر,الشعب  ق 6 ش الزبير بن العوام,1974,2,"{أمة 24, الدائرة 1, ذكور, الشعب}"
6,مدرسة فاطمة علي المسباح المشتركة,6,1,الشعب,اناث,,الشعب ق 3 ش المنامه,2130,2,"{أمة 24, الدائرة 1, اناث, الشعب}"
7,مدرسة زكريا الانصاري الابتدائية للبنين,7,1,بيان,ذكور,حولي + ميدان حولي + النقرة,بيان ق8 ش 10,9023,8,"{أمة 24, الدائرة 1, ذكور, بيان}"
8,مدرسة بيان الابتدائية للبنات,8,1,بيان,اناث,حولي,بيان ق 11 ش1,9626,10,"{أمة 24, الدائرة 1, اناث, بيان}"
9,مدرسة مشعان الخضير المتوسطه للبنين,9,1,مشرف,ذكور,ضاحية مبارك العبدالله,مشرف ق 2 ش 59,11088,7,"{أمة 24, الدائرة 1, ذكور, مشرف}"
10,مدرسة مشرف المتوسطة للبنات,10,1,مشرف,اناث,ضاحية مبارك العبدالله,مشرف ق 5 شارع المدارس,11625,8,"{أمة 24, الدائرة 1, اناث, مشرف}"
11,مدرسة انجفة الابتدائية للبنين,11,1,السالمية,ذكور,البدع + الراس,السالمية  ق 6  شارع البحرين قرب بيت الزكاة,2510,2,"{أمة 24, الدائرة 1, ذكور, السالمية}"
12,ثانوية السالمية للبنات,12,1,السالمية,اناث,البدع,السالمية ق 5 ش البحرين بجانب التأهيل  المهني,2515,3,"{أمة 24, الدائرة 1, اناث, السالمية}"
13,مدرسة المغيرة بن نوفل,13,1,سلوى,ذكور,,سلوى ق 5 ش الجمعية,7595,7,"{أمة 24, الدائرة 1, ذكور, سلوى}"
14,مدرسة أم سليم الأنصارية المتوسطه للبنات,14,1,سلوى,اناث,,سلوى ق 3 ش المسجد الاقصى,8060,9,"{أمة 24, الدائرة 1, اناث, سلوى}"
15,مدرسة سيد محمد حسن الموسوي المتوسطه للبنين,15,1,الرميثية,ذكور,,الرميثية ق 7 ش حراء,9805,11,"{أمة 24, الدائرة 1, ذكور, الرميثية}"
16,مدرسة محمد الشايجي الابتدائية للبنين,16,1,الرميثية,اناث,,الرميثية ق 11 ش  المدارس,10319,10,"{أمة 24, الدائرة 1, اناث, الرميثية}"
17,مدرسة معن بن زائده المتوسطه للبنين,1,2,ضاحية عبدالله السالم,ذكور,,عبد الله السالم ق 3 ش احمد الغانم,3513,4,"{أمة 24, الدائرة 2, ذكور, ضاحية عبدالله السالم}"
18,ثانوية يوسف بن عيسى للبنين,2,2,ضاحية عبدالله السالم,اناث,,عبد الله السالم ق 4 ش  سيد علي  سليمان,3868,4,"{أمة 24, الدائرة 2, اناث, ضاحية عبدالله السالم}"
19,مدرسة الشامية المشتركه للبنات,3,2,الشامية,ذكور,القبلة + الشويخ,الشامية ق 3 ش الشامية,3757,4,"{أمة 24, الدائرة 2, ذكور, الشامية}"
