District,Locality,Sub-locality, Area,Postal Code
Al-Ahmadi,Al-Fintas,50000
,Fnaitees,52400
,Hadiya,52700
,Al-Manqaf,53700
,Al-Eqaila,54200
,Abu Halifa,54600
,Al Ahmadi,60000
,Magwa,60200
,Al Fahaiheel,63000
,Ali Al Salem Al Sabah,65000
,Al-Nuwaiseb,65500
,Al Wafra,65700
,Az Zawr,65900
,Al-Kout,66100
,Kubbar Island,66301
,Qārūh Island,66302
,Al-Julaia'a,66304
,Alillaih,66305
,Bnaider,66306
,Dahar, Block 1,51251
,Dahar, Block 2,51252
,Dahar, Block 3,51253
,Dahar, Block 4,51254
,Dahar, Block 5,51255
,Dahar, Block 6,51256
,Al-Riqqa, Block 1,53301
,Al-Riqqa, Block 2,53302
,Al-Riqqa, Block 3,53303
,Al-Riqqa, Block 4,53304
,Al-Riqqa, Block 5,53305
,Al-Riqqa, Block 6,53306
,Al-Riqqa, Block 7,53307
,Al-Sabahiya, Block 1,54401
,Al-Sabahiya, Block 2,54402
,Al-Sabahiya, Block 3,54403
,Al-Sabahiya, Block 4,54404
,Al-Sabahiya, Block 5,54405
,Burgan, Burgan Oil Field,60100
,Burgan, Burgan Oil Field,60100
,Mina Abdullah, Mina Abdullah Refinery,65200
,Mina Al Ahmadi, Mina Al Ahmadi Refinery,65300
,Khiran, Khiran Pearl City,66300
Al-Asimah,Jibla,14000
,Al-Mirqab,15000
,Al-Sawaber,15300
,Sharq,15300
,Dasman,15400
,Failaka Island,25200
,Beneid Al Gar,35020
,Umm Al Namil Island,73921
,Sulaibikhat,90005
,Sulaibikhat,90006
,Granada,93500
,Al-Mansouriya, Block 1,25501
,Doha, Block 1,35001
,Doha, Block 2,35002
,Doha, Block 3,35003
,Doha, Block 4,35004
,Doha, Block 5,35005
,Doha, Block 6,35006
,Doha, Ahamaah and its aftermath,35007
,Al-Daiya, Block 1,35301
,Al-Daiya, Block 2,35302
,Al-Daiya, Block 3,35303
,Al-Daiya, Block 4,35304
,Al-Daiya, Daiya view of the sea,35305
,Al-Mansouriya, Block 2,35502
,Al-Mansouriya, Al-Arabi Sport Club,35503
,Al-Mansouriya, Assembly and Derivatives,35503
