id,name,code,governorate
14000,??????,Al qebla,2
14250,??????,Al watya,2
15000,???????,Al-Mirqab,2
15300,???????,Al-Sawaber,2
15300,???,Sharq,2
13500,???????,Al sawaber,2
15400,?????,Dasman,2
20000,????????,Al salmeya,4
25000,?????,Al-Bidea,4
25200,????? ?????,Failaka Island,2
25400,????????,Al rumaitheya,4
25600,????,Salwa,4
25600,????,salwa,4
26600,???????,Al-Messila,6
26600,???????,Al masayel,6
30000,????,Hawali,4
35000,??????,Al Dasma,2
35000,??????,Al doha,2
35020,???? ?????,Beneid Al Gar,2
35300,??????,Al Deaya,2
35500,?????????,Al Mansureya,2
35700,????????,Al qadseya,2
35900,?????,Al shueb,4
36200,???? ?????,Bnaid Algar,2
40000,????,Meshref,4
40006,??? ????,West Mishref,4
40250,????? ????????? ??????,Mubarak al abdullah al jaber,4
43600,????,Bayan,4
44000,???? ??????,Sabah Al salem,6
45400,?????,Al surra,2
46000,?????,Sabhan,6
46300,????????,Al jabreya,4
47000,??????,AL Adan,6
47020,??????,Al-Qusor,6
47040,??????,Al qurain,6
47060,????? ??????,Mubarak Al Kabeer,6
47080,??? ??????,East Al-Qurain,6
47080,??? ?????,Abu Fatera,6
47700,??????,Al salam,4
47720,??????,Al sadeq,4
47740,????,Haten,4
47760,???????,Al zahra,4
47780,???????,Al shuhada,4
50000,???????,Al-Fintas,1
51215,?????,Al thahar,1
51400,??? ???????,Abu alhassani,6
51600,???? ?????,Jaber Al ali,1
52400,????????,Fnaitees,1
52400,????????,Al Funaitess,6
52700,????,Hadiya,1
52700,????,Hadeya,1
53300,?????,Al ruqqa,1
53700,??????,Al Manqaf,1
53800,??? ??????,Fahad Al Ahmed,1
54000,????????,Al Mahabula,1
54200,???????,Al Eqaila,1
54600,??? ?????,Abu Halifa,1
55000,????????,Al sabaheya,1
60000,???????,Al Ahmadi,1
60200,??????,Magwa,1
63000,????????,Al Fahaiheel,1
65000,??? ?????? ??????,Ali Al Salem Al Sabah,1
65200,????? ???????,Mena Abdulla,1
65300,???????,Al Shuaiba,1
65500,????????,Al Nuwaiseb,1
65700,??????,Al Wafra,1
65700,??????,Al wafra,1
65900,?????,Alzur,1
66100,?????,Al-Kout,1
67500,???????,Al Khiran,1
,,,
,,,
66304,???????,Aljulea,1
66390,??????,Alillaih,1
66450,??????,Al nahda,2
66380,???? ??????,Sabah Al Ahmed,
67500,???? ?????? 1,Sabah Al Ahmed 1,1
67520,???? ?????? 2,Sabah Al Ahmed 2,1
67540,???? ?????? 3,Sabah Al Ahmed 3,1
67560,???? ?????? 4,Sabah Al Ahmed 4,1
67580,???? ?????? 5,Sabah Al Ahmed 5,1
70031,??????,Al naseem,5
70031,??????,Al shuwaik,2
70070,????,Al rai,3
70700,????????,Al qairawan,2
71501,???????,Al Shameya,2
71801,?????,Kaifan,2
72100,??? ???? ??????,Abdullah Al salim,2
72300,????????,Al Khaldeya,2
72500,???????,Al yarmok,2
72700,???????,Al Faiha,2
72900,??????,Al Nuzha,2
73100,????????,Al odeileya,2
73300,??????,Al rauda,2
73500,?????,Qurtuba,2
,,,
83000,?????,Khaitan,3
85000,?????????,Al Farwaneya,3
85000,?????????,Al Farwaniyah,3
85000,???????,Al Omareya,3
85200,???????,Al Rabya,3
85400,???????,Eshbeliya,3
85600,????????,Al-Ardiya,3
85600,??????,Al-Sideeq,3
85600,?????,Hassawi,3
85600,???? ??????,Jaleeb Al-Shuyoukh,3
85601,??????,Al thatej,3
85600,???? ??????,Jleeb Al-Shuyoukh,3
85700,??????? ???????,Abdulla AlMubarak,3
86000,??????,Al rehab,3
90000,??????????,Sulebekhat,2
91100,??? ????? ????,Saad Al Abdalla,5
91710,???? ??????,Jaber Al Ahmad,2
92000,???????,Andalus,3
92200,???????,Al ferdous,3
92400,????????,Al Ardeya,3
92400,????????,Al-Ardiya,3
92420,???? ??????,Sabah Al naseer,3
92700,??????,Al-Riggae,3
92700,??????,Al raqee,3
93500,??????,Granada,2
20,???????,Al Jahra,5
00003,?????,emgara,5
40,?????,Al qasser,5
60,??????,Al naeem,5
80,?????,Taima,5
100,??????,Al waha,5
120,??????,Alyon,5
03400,???????,Al mutla,5
03600,??????,Al Surabeya,5
04000,??????,Al Sabeya,5
,,,
,,,
66360,????? ?? ???????,Umm Almaradem,2
66350,????? ?????,Qaroh Island,2
26640,????? ?????,Miskan Island,2
26620,????? ????,Ouhah Island,2
73920,????? ?? ?????,Umm Al Namil Island,2
66430,????? ???,Kubbar Island,2
