id,name,code,governorate
50000,الفنطاس,alFintas,1
51215,الظهر,alThahar,1
51600,جابر العلي,jaberAlAli,1
52400,الفنيطيس,fnaitees,1
52700,هديّة,Hadeya,1
53300,الرقة,alRuqqa,1
53700,المنقف,alManqaf,1
53800,فهد الأحمد,fahadAlAhmed,1
54000,المهبولة,alMahabula,1
54200,العقيلة,alEqaila,1
54600,أبو حليفة,abuHalifa,1
55000,الصباحية,alsabaheya,1
60000,الأحمدي,alAhmadi,1
60200,المقوع,magwa,1
63000,الفحيحيل,alFahaiheel,1
65000,علي السالم الصباح,aliAlSalemAlSabah,1
65200,ميناء عبد الله,menaAbdulla,1
65300,الشعيبة,alShuaiba,1
65500,النويصيب,alNuwaiseb,1
65700,الوفرة,alWafra,1
65900,الزور,alZur,1
66100,الكوت,alKout,1
67500,الخيران,alKhiran,1
66304,الجليعة,alJulea,1
66390,اللياح,alLaiah,1
67500,صباح الأحمد ١,sabahAlAhmed1,1
67520,صباح الأحمد ٢,sabahAlAhmed2,1
67540,صباح الأحمد ٣,sabahAlAhmed3,1
67560,صباح الأحمد ٤,sabahAlAhmed4,1
67580,صباح الأحمد ٥,sabahAlAhmed5,1
14000,القبلة,alQebla,2
14250,الوطية,alWatya,2
15000,المرقاب,alMirqab,2
15300,الصوابر,alSawaber,2
15300,شرق,Sharq,2
15400,دسمان,dasman,2
25200,جزيرة فيلكا,failakaIsland,2
35000,الدسمة,alDasma,2
35000,الدوحة,alDoha,2
35300,الدعية,alDeaya,2
35500,المنصورية,alMansureya,2
35700,القادسية,alqadseya,2
36200,بنيد القار,beneidAlGar,2
45400,السرة,alSurra,2
66450,النهضة,alNahda,2
70031,الشويخ,alShuwaik,2
70700,القيروان,alQairawan,2
71501,الشامية,alShameya,2
71801,كيفان,kaifan,2
72100,عبدالله السالم,abdullahAlSalim,2
72300,الخالدية,alKhaldeya,2
72500,اليرموك,alYarmok,2
72700,الفيحاء,alFaiha,2
72900,النزهة,alNuzha,2
73100,العديلية,alOdeileya,2
73300,الروضة,alRauda,2
73500,قرطبة,Qurtuba,2
90000,صليبيخات,Sulebekhat,2
91710,جابر الأحمد,jaberAlAhmad,2
93500,غرناطة,Granada,2
66360,أم المرادم,ummAlMaradem,2
66350,جزيرة قاروه,qarohIsland,2
26640,جزيرة مسكان,miskanIsland,2
26620,جزيرة عوهه,ouhahIsland,2
73920,أم النمل,ummAlNamilIsland,2
66430,جزيرة كبر,kubbarIsland,2
70070,الري,alRai,3
83000,خيطان,khaitan,3
85000,الفروانية,alFarwaniyah,3
85000,العمرية,alOmareya,3
85200,الرابية,alRabya,3
85400,اشبيلية,eshbeliya,3
85600,الصديق,alSideeq,3
85600,جليب الشيوخ,jaleebAlShuyoukh,3
85601,الضجيج,alDhajej,3
85700,عبدالله المبارك,abdullaAlMubarak,3
86000,الرحاب,alRehab,3
92000,الأندلس,alAndalus,3
92200,الفردوس,alFerdous,3
92400,العارضية,alArdeya,3
92420,صباح الناصر,sabahAlNaseer,3
92700,الرقة,alRiggae,3
20000,السالمية,alSalmeya,4
25000,البدع,alBidea,4
25400,الرميثية,alRumaitheya,4
25600,سلوى,salwa,4
30000,حولي,Hawali,4
35900,الشعب,alShueb,4
40000,مشرف,meshref,4
85700,عبدالله المبارك,abdullahAlMubarak,4
40250,مبارك العبد الله الجابر,mubarakAlAbdullahAlJaber,3
43600,بيان,bayan,4
46300,الجابرية,alJabreya,4
47700,السلام,alSalam,4
47720,الصديق,alSadeq,4
47740,حطين,haten,4
47760,الزهراء,alZahra,4
47780,الشهداء,alShuhada,4
70031,النسيم,alNaseem,5
91100,سعد العبدالله,saadAlAbdalla,5
20,الجهراء,alJahra,5
00003,أمغرة,amgara,5
40,القصر,alQasser,5
60,النعيم,alNaeem,5
80,التيماء,taima,5
100,الواحة,alWaha,5
120,العيون,alOyon,5
03400,المطلاع,alMutla,5
03600,الصليبية,alSulabeya,5
04000,الصباحية,alSabeya,5
26600,المسيلة,alMessila,6
26600,المسايل,alMasayel,6
44000,صباح السالم,sabahAlSalem,6
46000,صبحان,sabhan,6
47000,العدان,alAdan,6
47020,القصور,alQusor,6
47040,القرين,alQurain,6
47060,مبارك الكبير,mubarakAlKabeer,6
47080,القرين الشرقي,eastAlQurain,6
47080,أبو فطيرة,abuFatera,6
51400,أبو الحصاني,abuAlHassani,6
52400,الفنيطيس,alFunaitess,6
