id,group_id,permission_id
4043,1,961
4044,2,961
4045,1,962
4046,2,962
4047,1,963
4048,2,963
4049,1,964
4050,2,964
4051,1,965
4052,2,965
4053,30,965
4054,31,965
4055,32,965
4056,33,965
4057,34,965
4058,35,965
4059,36,965
4060,1,966
4061,2,966
4062,1,967
4063,2,967
4064,30,967
4065,31,967
4066,32,967
4067,2,968
4068,1,969
4069,2,969
4070,30,969
4071,31,969
4072,32,969
4073,33,969
4074,1,970
4075,2,970
4076,1,971
4077,2,971
4078,30,971
4079,31,971
4080,32,971
4081,33,971
4082,1,972
4083,2,972
4084,1,973
4085,2,973
4086,1,974
4087,2,974
4088,30,974
4089,1,975
4090,2,975
4091,30,975
4092,31,975
4093,1,976
4094,2,976
4095,30,976
4096,31,976
4097,32,976
4098,1,977
4099,2,977
4100,30,977
4101,31,977
4102,32,977
4103,33,977
4104,34,977
4105,1,978
4106,2,978
4107,30,978
4108,31,978
4109,32,978
4110,33,978
4111,34,978
4112,1,979
4113,2,979
4114,30,979
4115,31,979
4116,32,979
4117,33,979
4118,34,979
4119,1,980
4120,2,980
4121,30,980
4122,31,980
4123,32,980
4124,33,980
4125,34,980
4126,1,981
4127,2,981
4128,30,981
4129,31,981
4130,32,981
4131,33,981
4132,34,981
4133,35,981
4134,36,981
4135,1,982
4136,2,982
4137,36,982
4138,1,983
4139,2,983
4140,36,983
4141,1,984
4142,2,984
4143,36,984
4144,1,985
4145,2,985
4146,30,985
4147,31,985
4148,32,985
4149,33,985
4150,34,985
4151,35,985
4152,36,985
